AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Treg_cluster,Study Abbreviation_BRCA
15,92,0.21123863835536394,0.5128840938,1.5116583818,419.0,0.9174145959032326,44,0.58,0,1
19,55,0.1462339976073988,1.9709942115,6.5506572324,216.0,0.5479899394590235,21,0.45,0,1
17,167,0.4879175428331475,0.7000099888,1.9782890989,565.0,0.870993255135885,62,0.69,0,1
10,64,0.22272982133638114,0.5229170882999999,1.2201398728,356.0,0.9184553200200992,30,0.76,1,1
13,182,0.6937758074783251,0.5783917152,2.148312085,455.0,0.9710601739635352,73,0.53,0,1
5,19,0.015826308469610518,0.217892,0.6809125001,59.0,0.1107517471603397,4,0.7,0,1
19,49,0.22829623437410884,0.2102230382,0.8408921529000001,290.0,0.9313258222089988,31,0.72,1,1
5,2,0.03291130490023608,0.0281673391,0.7041834779999999,51.0,0.10246934911835816,8,0.72,1,1
9,10,0.1304254925563849,0.21808750719999997,0.8178281520999999,67.0,0.22109574847275354,7,0.42,0,1
22,7,0.08742365828744522,0.2791598751,0.6141517250999999,77.0,0.5687311151002701,7,0.47,0,1
21,26,0.3203978129670101,2.0963083819,5.0093602892,217.0,0.5775382169217157,38,0.38,0,1
4,12,0.04597721901914691,0.1647127118,0.6863029657999999,135.0,0.07560213188424891,7,0.77,1,1
0,0,0.0,0.1357979171,0.2172766673,75.0,0.005626082756839597,1,0.88,0,1
22,7,0.13768190557073706,0.40833691130000005,1.0616759693,130.0,0.6784422010780322,7,0.81,1,1
26,5,0.06692250549327823,0.30227415960000004,1.2090966386,99.0,0.5453345397006396,3,0.66,1,1
15,15,0.17300062796053106,0.34363158039999997,1.7181579022,170.0,0.4430860486144976,25,0.45,0,1
2,16,0.06866419976546548,0.081154032,0.37871881590000006,115.0,0.07236328476516443,8,0.46,0,1
5,17,0.04110058402339516,0.1474124878,0.6780974437,196.0,0.10030320337610288,10,0.61,0,1
23,48,0.30889200392015703,2.0450642171,4.9957997303,370.0,0.6945128197232467,49,0.51,0,1
4,18,0.10248433375400016,0.2171348138,0.7871137001999999,87.0,0.11783932823213925,18,0.56,0,1
13,44,0.4536286948718879,0.44142283649999997,0.8534174837999999,173.0,0.7354812212364871,35,0.63,0,1
13,37,0.4030250629893081,0.3331146436,1.6322617535,212.0,0.4790265730714996,32,0.52,0,1
11,61,0.4621362583176698,0.2391828048,0.5846690785,218.0,0.6610017558898342,36,0.57,0,1
2,13,0.04348205955617997,1.0753693585,2.9841499697000002,148.0,0.10425230266391926,10,0.65,0,1
4,56,0.27277421713715483,1.337582558,4.5534725379,263.0,0.46348838256421904,70,0.56,0,1
17,26,0.10017227866531846,0.2458816514,0.5839689220000001,289.0,0.3842060316412662,31,0.19,0,1
34,54,0.5916805405826844,0.2073555777,0.7405556347,220.0,0.9462791668790412,26,0.7,0,1
31,52,0.2718125099927393,0.3639812652,0.783959648,241.0,0.9066092672438342,39,0.51,1,1
7,19,0.18823147038352112,0.34657263920000003,0.746464146,119.0,0.2602763006218829,15,0.49,0,1
5,19,0.021137938555171504,0.0549470913,0.41210318479999997,75.0,0.11530473365421975,3,0.6,1,1
