ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1,Virus_HPV
133.9371,0.0,27.1687,631.0772,1038.6082,1262.6311,758.8179,42.4214,2116.3012,165.4051,272.164,24.7855,627.7407,3.3365,52.4309,48.6177,469.9714,577.693,1028.5987,521.9256,993.327,110.5815,844.6139,23050.9771,27892.3594,17463.694,15313.632,8007.1497,8821.2583,289.7998,10459.0086,160.6292,30618.2078,16414.7235,8058.6273,4084.8427,4451.8589,394.1849,68.6368,361.7731,0.0,0.0,1.9066,18.1125,5.2431,0.0,15.7293,155.3861,125.8341,0.0,0.0,6606.0105,0.9533,0.0,80.5529,323.1649,97.7121,136.7969,38.6082,204.4805,209.7235,391.3251,1171.5919999999999,146.8065,764.5377,499.4852,36.225,50.0477,31.9352,75.3098,15.7293,34.795,1794.0896,1484.2707,2035.2717,242.88099999999997
229.9944,0.0,17.9071,1886.9614,2371.0129,1022.3839,1158.9256,137.6609,2506.995,141.606,92.8931,92.3335,1235.5904,22.3839,115.8366,43.089,3073.3072,1648.5729999999999,4353.1058,100.7275,1493.5646,254.0571,922.7756,34929.4404,42678.0358,25367.2916,22543.4527,10948.9927,14987.1293,758.2541,16337.437,2944.5999,48962.507000000005,38551.925,26120.7443,3231.1136,7365.9765,435.9261,53.1617,437.6049,0.0,0.0,27.4203,20.1455,16.2283,0.5596,11.1919,231.6732,106.883,2.2384,0.0,7129.972,0.0,0.5596,52.0425,588.1365,127.0285,264.1298,48.1253,824.2865,60.9961,621.1528,3656.967,82.2608,662.0034,1244.4712,68.2708,104.0851,124.2306,102.9659,345.83099999999996,31.3374,2916.62,1933.9675,11.7515,164.74400000000003
127.751,0.2964,8.2994,1240.4594,1832.3824,1111.5228,307.9659,292.5528,2317.3027,62.601000000000006,133.6791,37.3472,1333.2345,2.6677,22.2305,34.9759,3074.9166,134.8648,207.7807,311.8192,800.2964,68.4698,422.3787,60700.8996,59618.6795,39816.3705,8264.3942,4932.7899,1797.11,113.2271,5791.7747,227.9363,20938.718,18926.3194,9602.3209,2233.1234,18901.5191,140.2001,24.3053,38.5328,0.0,0.0,4.4461,8.2994,24.8981,1.1856,5.6317,299.3701,82.6973,0.5928,0.2964,12869.0597,0.7944,0.3913,24.3053,570.5817,279.5109,87.4398,54.5387,84.4757,63.4309,672.5454,2494.5535,51.8711,260.8373,1636.2534,41.4969,71.7303,56.3172,69.359,292.5528,26.0837,14689.5887,2512.6343,36.7544,167.12599999999998
118.0626,0.0,16.6498,996.4682,1159.4349,578.2038,639.7578,292.6337,2568.113,134.4854,75.1766,18.1635,297.6791,7.5681,83.7538,49.9495,1902.1191,579.2129,947.0232,117.55799999999999,776.9828,200.3027,473.2593,35021.6246,35624.1221,18903.6276,8916.2462,5469.223000000001,3103.9354,1139.7578,2630.6761,275.9839,23681.6347,6514.3693,2525.1867,4602.9263,44041.3724,88.7992,58.5267,234.6115,0.0,0.0,12.109000000000002,13.6226,0.0,0.5045,29.7679,108.4763,230.0706,0.5045,0.5045,3959.0767,1.5136,0.0,77.1948,304.2381,351.1604,76.1857,18.1635,161.9576,118.5671,475.2775,1675.5802,101.4127,384.9647,795.4591,68.113,48.4359,62.0585,99.8991,48.9405,15.6408,11666.4985,1230.0706,4.5409,227.68
252.3126,0.0,16.9059,841.1483,1094.0989,1431.8979,716.1085,70.8134,3812.4402,247.4003,166.1882,10.5263,766.1882,14.0351,100.1595,77.8309,6659.9681,702.7113,1118.6603,502.0734,1746.4115,209.5694,976.7145,31223.8852,39517.3206,19372.9506,14404.4912,9503.6427,9952.4721,735.5662,16618.1818,1280.7018,35799.362,14172.7432,2203.1898,3925.0399,21709.7289,278.7879,67.6236,312.5997,0.0,0.0,5.7416,49.7608,10.8453,0.319,19.4577,117.0654,178.6284,0.638,0.638,5148.4657,1.2759,2.2329,135.2472,405.1037,155.9809,167.1451,41.4673,259.6491,255.8214,622.9665,2791.0686,80.3828,757.8947,925.7352,374.8006,196.4912,30.303,117.3844,62.8389,54.2265,8312.9187,1990.1116,413.0781,203.09099999999998
250.649,0.2884,30.574,665.1284,1041.246,1081.9152,782.5209,58.8405,2089.4145,560.7182,94.6063,21.3441,649.5529,8.652999999999999,40.0923,74.9928,474.4736,496.68300000000005,2142.4863,182.2902,1113.3487,235.362,426.5936,29253.3776,38938.3271,25130.3202,7492.0681,4288.1454,4152.8699,338.0444,5521.7768,229.3049,19276.0312,10580.1442,5067.7819,2135.2755,11520.623,376.1177,40.6692,858.3789999999999,0.0,0.0,14.1333,16.4407,6.6339999999999995,0.5769,12.9795,256.9945,202.4805,0.5769,0.0,3701.1826,0.9201,2.2527,256.7061,611.1912,325.6418,119.9885,87.3954,326.7955,112.2007,1505.6245,1620.9979999999998,127.7762,454.5717,854.9726,94.8947,98.6444,93.741,63.167,12.9795,56.8215,3218.3444,2346.6974,17.305999999999997,249.891
165.2893,0.8264,20.6612,2029.7521,3010.7438,1795.8678,980.1653,56.1983,2138.843,123.124,109.9174,51.2397,473.5537,6.6116,40.4959,39.6694,1355.3719,549.5868,2010.7438,423.9669,685.1239999999999,198.3471,831.405,82495.8678,127006.6198,56208.2562,13468.7107,7907.3223,7333.0579,671.0744,4802.4793,511.5702,27706.6116,10506.6694,1655.3719,4731.405,3333.8843,502.4793,55.3719,721.4876,0.0,0.0,5.7851,29.7521,9.0909,0.8264,8.2645,181.8182,88.4298,0.8264,0.0,7156.1405,0.0,7.438,67.7686,309.0909,172.7273,104.9587,38.843,304.9587,107.43799999999999,640.4959,2225.6198,110.7438,1049.5868,1681.3967,19.0083,32.2314,23.1405,71.0744,32.2314,43.8017,1490.9091,896.6942,10.7438,291.955
191.9466,0.0,66.4707,1975.3561,3045.4443,1463.9385,10756.9523,260.9089,3293.9182,312.6634,163.9159,60.5924,1355.8671,14.4698,103.3235,103.7757,2311.5532,1912.0506,4191.9512,158.2636,1255.0215,251.8652,1015.6003,56609.0504,74161.8652,41828.1868,21187.9154,10984.1397,17318.1099,385.0328,10745.4217,51.5487,53567.9403,18397.1219,3668.3247,5160.9767,5980.5562,336.1972,99.0278,3197.8295,0.9044,0.0,24.87,46.3486,11.5306,6.1045,15.8264,307.4836,512.322,1.5826,0.0,6764.2663,1.2073,1.9579,168.2116,290.7529,440.8772,423.9204,111.4628,370.7891,181.0988,2056.2966,2495.139,184.7163,864.3455,1562.86,172.5073,120.9586,85.6884,152.1592,69.63600000000001,52.227,2836.5363,1348.18,200.0904,116.09299999999999
361.5892,0.0,153.9439,3009.0666,1311.2084,1414.136,3098.5689,213.9104,1498.2681,413.7064,196.01,161.1041,2547.2348,25.0606,268.5068,280.1421,142.3086,7780.433000000001,12288.6627,231.8109,2846.1724,1115.1984,2408.5063,45719.4909,68112.8803,73228.2308,25102.7307,17588.0658,4769.5764,3972.1111,4586.0967,461.8318,173150.2027,19594.3578,3855.6776,8039.0946,3280.2585,151.2588,273.877,3238.1924,0.0,0.0,147.6788,199.5901,15.2154,15.2154,25.0606,498.5277,813.5757,2.6851,0.0,9023.8166,0.0,4.4751,188.8498,580.8698,325.7883,869.0671,113.6679,645.3114,170.9494,18944.9471,1297.7830000000001,122.6181,2450.5724,2130.9418,181.6896,276.562,157.524,228.2308,48.3312,130.6733,1340.7441,1538.5442,0.895,140.374
241.7436,1.4652,67.3993,1164.1026,1008.7912,765.5678,697.4359,49.0842,2195.6044,227.8315,153.8462,39.5604,1389.7436,18.315,220.5128,133.3333,2320.8791,705.4945,227.1062,140.6593,1188.2784,255.6777,1211.7216,22095.8755,39220.1319,38371.0769,30211.7582,22885.6557,3443.2234,7503.2967,5650.5495,2621.2454,141715.0183,13877.7729,10751.3919,4555.3114,13734.0659,246.8864,116.4835,665.2015,0.0,0.0,2.9304,59.3407,14.652000000000001,5.1282,42.4908,398.5348,212.4542,4.3956,1.4652,5302.4982,0.0,1.4652,58.6081,688.6447,268.8645,216.8498,44.6886,216.1172,148.7179,588.2784,1563.37,136.9963,1178.7546,1110.7839,84.2491,123.8095,87.9121,70.3297,148.7179,65.9341,1099.6337,2059.3407,54.2125,97.62100000000001
