AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Treg_cluster
9,114,0.4819278853272668,0.5899356621999999,2.8316911786000003,537.0,0.6260612651230885,72,0.88,-1
9,131,0.4129951511151972,1.649382229,3.8485585344,572.0,0.9130772695410024,78,0.89,1
14,36,0.233986933460828,1.1429573603,4.0003507609,229.0,0.7741708396173785,66,0.97,-1
10,73,0.4432286842021497,1.0065442361,3.0825417230000003,362.0,0.9351424719846892,58,0.96,-1
14,108,0.4437643150185123,1.6681633449000002,6.483804699099999,492.0,0.7832803334646334,71,0.74,1
16,79,0.4122082475525301,0.48212745490000003,2.0892189712,346.0,0.9012692933025072,31,0.81,1
6,31,0.2709236806828214,0.7845962786,3.0128497099000002,209.0,0.6477962731140298,53,0.82,-1
20,34,0.2479260724756413,0.7054403323,1.4108806647,160.0,0.92050954420376,12,0.87,0
20,37,0.3577387850310132,0.2927024165,0.7317560412999999,217.0,0.9155031600108215,19,0.82,0
7,112,0.5258982561028824,0.4777941582,1.6722795535,416.0,0.9753936053487544,98,0.95,0
16,104,0.3845568101496785,1.1702070099,4.3420839053,419.0,0.8194997177841931,84,0.66,-1
6,49,0.3844403548406168,0.5246173791,1.3406888576,219.0,0.7109378919118261,62,0.9,0
27,25,0.2713650032136041,0.7057974912,1.8105239991,216.0,0.9472465482666292,28,0.91,0
0,17,0.0806854832198184,0.11544516640000001,0.3751967907,363.0,0.12828185625673222,17,0.91,0
18,31,0.1888034610228713,0.3311416772,1.3847742862999999,189.0,0.6515355621229351,30,0.95,-1
4,42,0.2980835513236275,0.0,1.2029102729999999,224.0,0.8560585680770699,68,0.9,1
5,96,0.33286418161390785,0.0,2.8205164366,336.0,0.3801306310806009,83,0.76,1
8,46,0.2960583365041752,0.5742600426,2.6918439497000004,232.0,0.4896045176569761,46,0.73,0
5,54,0.2715987134884464,1.0413809962,4.2055770999,297.0,0.941463263502938,54,0.84,-1
26,34,0.22832234619272235,0.8485292964,2.5455878891999997,393.0,0.8668036881609131,39,0.77,-1
13,196,0.4072737678909,1.5690672328,5.1465405237,931.0,0.9561225018930024,79,0.81,1
15,92,0.2977304567881079,0.3554502791,2.8436022327,574.0,0.7286270331763545,57,0.77,-1
12,37,0.3579993949033156,0.8503783886,1.7007567772,195.0,0.3310839746519158,37,0.21,1
8,136,0.2381586283329402,0.7109564070000001,2.6583587391999997,1122.0,0.4580900146161946,43,0.89,-1
17,74,0.09879337634446113,0.3826065897,2.6782461276,651.0,0.9292996554647792,40,0.93,-1
21,26,0.13749716003879314,0.6714058112000001,2.3659061919,244.0,0.6826232415667843,38,0.48,1
29,39,0.13126959081016987,1.18922517,3.4391106267000002,293.0,0.8189491140080202,18,0.8,0
14,38,0.3344206198805492,0.2999853337,0.9299545345,231.0,0.9993412666595384,27,0.86,0
9,38,0.3765181159767913,0.5822042936999999,1.9961290068000002,176.0,0.939180062544968,42,0.8,-1
16,105,0.27141621398314536,2.4856321478,7.756370196000001,508.0,0.5746499047606551,29,0.77,-1
13,29,0.2610958446102139,0.2698203752,3.0579642519999997,143.0,0.6933695743582955,49,0.72,1
22,19,0.22815206892680825,0.8989320719,3.3388905527999997,132.0,0.7174280022246596,45,0.58,1
23,49,0.32201810377009416,1.5063716508000002,5.0312813137,223.0,0.8272882848999574,68,0.49,1
7,39,0.2957330748029828,1.0189635670000001,2.5474089176,209.0,0.6688904332049495,53,0.61,1
3,101,0.3862874278876103,1.2571264854000002,3.6815847073000003,398.0,0.8634207088202931,76,0.91,0
25,93,0.4839267387145111,1.9167749694999998,4.7462999245,470.0,0.9339537516901694,28,0.79,0
4,45,0.22881591715891936,0.2499541334,264.95138142,259.0,0.8068285614065771,38,0.79,-1
12,79,0.5638732976855384,0.5319084491,2.0094319188,252.0,0.9246292581128628,57,0.57,1
25,79,0.2750671688401945,0.3941204481,1.9706022405,530.0,0.9188954998000328,29,0.92,0
6,100,0.2701903544018047,0.5636107878,2.3870574541,527.0,0.6674608353426045,77,0.71,1
7,59,0.27660722198193965,0.4036227439,1.4902993619999998,302.0,0.5074376529252036,59,0.81,1
23,25,0.1853937825333729,0.38808019439999997,1.6299368167,212.0,0.7242419945365137,27,0.76,0
7,71,0.3284247671633044,2.0241719362,6.7069577587,283.0,0.960198903315876,61,0.88,-1
13,114,0.3997675954751918,1.1129331417000001,3.338799425,548.0,0.7866928141073606,86,0.89,-1
