AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Neoantigen_num,numberOfBindingExpressedPMHC
8,3,0.05728641014123498,0.47189158924999997,1.4233924138499998,65.0,0.15857839341566835,2,0.39,5.0,63.0
0,17,0.05573173852379363,0.47189158924999997,1.4233924138499998,94.0,0.17414885861406307,17,0.82,5.0,63.0
8,13,0.15608453824801502,0.47189158924999997,1.4233924138499998,683.0,0.3264949237367754,0,0.67,5.0,63.0
3,9,0.05944880928713605,0.47189158924999997,1.4233924138499998,166.0,0.13143427179498599,9,0.78,5.0,63.0
7,16,0.10132812349944266,0.47189158924999997,1.4233924138499998,152.0,0.17333810404803845,9,0.61,5.0,63.0
7,26,0.11272234681737656,0.47189158924999997,1.4233924138499998,218.0,0.15159778955219455,7,0.7,5.0,63.0
17,26,0.33368405980847804,0.47189158924999997,1.4233924138499998,283.0,0.5021099556943096,26,0.73,5.0,63.0
8,10,0.05125946101781912,0.47189158924999997,1.4233924138499998,229.0,0.17215468095528833,0,0.68,5.0,63.0
5,14,0.0689904321383231,0.47189158924999997,1.4233924138499998,204.0,0.14104933469730924,3,0.7,5.0,63.0
4,14,0.09866037692982713,0.47189158924999997,1.4233924138499998,151.0,0.7162665041960808,1,0.85,5.0,63.0
7,7,0.16188997454565354,0.47189158924999997,1.4233924138499998,73.0,0.5909984703096618,0,0.69,5.0,63.0
13,32,0.23814797101043644,0.47189158924999997,1.4233924138499998,168.0,0.3238298381864844,13,0.51,5.0,63.0
4,15,0.0179848101355137,0.47189158924999997,1.4233924138499998,198.0,0.08814842052880206,11,0.5,5.0,63.0
3,23,0.09472196284354854,0.47189158924999997,1.4233924138499998,258.0,0.13151951742783333,11,0.88,5.0,63.0
1,8,0.05988673177669712,0.47189158924999997,1.4233924138499998,97.0,0.4708099981892871,8,0.72,5.0,63.0
4,8,0.06296002531324832,0.47189158924999997,1.4233924138499998,79.0,0.11805013653813498,2,0.45,5.0,63.0
18,10,0.18709439270148034,0.47189158924999997,1.4233924138499998,139.0,0.4112527314591289,6,0.55,5.0,63.0
4,2,0.02244027171794225,0.47189158924999997,1.4233924138499998,58.0,0.15903766350075452,7,0.72,5.0,63.0
7,38,0.08004262734075179,0.47189158924999997,1.4233924138499998,188.0,0.15813915320664462,7,0.69,5.0,63.0
8,37,0.2396027634558794,0.47189158924999997,1.4233924138499998,248.0,0.7032393960194359,20,0.72,5.0,63.0
6,9,0.06107502950648198,0.47189158924999997,1.4233924138499998,150.0,0.1622367158831884,2,0.89,5.0,63.0
1,28,0.11524736777558947,0.47189158924999997,1.4233924138499998,542.0,0.2673506777185572,30,0.88,5.0,63.0
27,20,0.18165173385676134,0.47189158924999997,1.4233924138499998,130.0,0.7453239376296946,24,0.77,5.0,63.0
7,5,0.1309943199253298,0.47189158924999997,1.4233924138499998,83.0,0.17868460922632898,0,0.18,5.0,63.0
9,16,0.10345539052288344,0.47189158924999997,1.4233924138499998,158.0,0.1963026683841518,15,0.48,5.0,63.0
20,15,0.4925031311221969,0.47189158924999997,1.4233924138499998,89.0,0.8496243146983349,0,0.72,5.0,63.0
5,17,0.10420936206708464,0.47189158924999997,1.4233924138499998,165.0,0.16085078670492214,22,0.95,5.0,63.0
6,31,0.0989073755542943,0.47189158924999997,1.4233924138499998,195.0,0.2751723716610677,15,0.58,5.0,63.0
9,16,0.10004559006881217,0.47189158924999997,1.4233924138499998,137.0,0.1928847231159519,7,0.91,5.0,63.0
3,24,0.12990520284320894,0.47189158924999997,1.4233924138499998,156.0,0.3848840747933411,29,0.93,5.0,63.0
6,15,0.07954745704444703,0.47189158924999997,1.4233924138499998,160.0,0.12354678778429425,7,0.92,5.0,63.0
