ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1,Virus_HPV
530.8043,0.0,8.7131,457.1046,858.5791,674.933,371.3137,10.0536,3500.0,99.6113,17.4263,13.4048,193.0295,5.3619,3.3512,9.3834,1884.7185,163.5389,342.4933,391.4209,1284.8525,54.2895,193.0295,12780.133999999998,18169.2493,11947.3727,5584.4504,4327.0777,1136.7292,513.4048,1488.6059,123.9946,12605.8981,4666.8968,743.2976,6174.933000000001,1163.5389,209.7855,5.3619,18.7668,0.0,0.0,2.681,2.681,8.0429,0.0,0.6702,20.7775,9.3834,0.0,0.0,1105.8981,0.0,0.0,22.7882,316.3539,156.8365,72.3861,13.4048,55.63,388.7399,115.9517,1680.2949,14.0751,280.8311,943.1568,121.3137,59.6515,3.3512,134.0483,12.0643,26.1394,1369.9732,2317.0241,6394.1019,15.184000000000001
71.8494,0.0,11.7833,694.9274,1263.3999,208.6507,612.4443,33.0507,3129.76,64.4777,34.7751,12.9329,392.2977,3.1614,49.145,36.4995,229.0559,942.9516,2217.56,82.4831,1003.5925,64.6645,348.0385,9942.5205,46705.5956,37607.9552,6360.684,2321.8853,1599.9425,538.0083,3413.9963,104.0379,14627.389,5742.005999999999,3302.0951,6355.2235,473.6313,583.1298,29.3146,218.1348,0.0,0.0,5.4606,7.1849,0.5748,0.5748,0.8622,14.9447,43.397,1.1496,0.2874,873.9761,0.0,0.8622,124.1558,436.55699999999996,246.5872,68.9754,26.1532,72.7116,68.688,249.1737,3017.675,57.4795,205.7767,417.9164,29.3146,44.5466,11.7833,49.7198,4.311,37.0743,1633.568,1726.9723,71.562,17.245
449.1979,0.4036,13.7221,898.3957,1414.5898,433.0542,882.6556,39.1484,3263.8482,88.2292,58.5208,25.8299,243.36599999999999,12.5114,47.6239,56.0993,839.0677,1458.985,3949.1474,228.8366,2048.2292,94.8441,524.266,21230.5479,28173.2015,21666.7743,7880.9404,5031.9847,4648.5723,99.2836,7218.2424,112.6022,21299.1625,13222.0523,7878.5188,5536.4746,1712.8443,447.9871,48.8346,290.1826,0.0,0.0,4.4395,8.0718,0.0,0.0,0.8072,35.5161,83.9471,0.0,0.0,1310.2169,0.0,0.8072,76.6825,136.8177,57.7137,120.67399999999999,27.8478,91.2118,2.8251,327.3131,880.2341,83.1399,408.4351,283.9713,191.7062,80.3148,22.6012,509.3331,29.0586,5.6503,2926.0418,1166.7844,618.7065,15.514000000000001
351.7373,11.0497,1.2277,103.1308,177.4095,372.0074,83.4868,2.4555,3203.8059999999996,9.0424,6.1387,0.6139,41.7434,4.2971,2.4555,0.0,563.5359,236.9552,7.9804,39.2879,679.558,6.7526,64.4567,6636.4825,5683.892,5160.1842,457.3358,448.7416,294.6593,47.8821,3306.9368,22.7133,999.3861,811.0313,69.3677,7200.1228,1020.8717,186.0037,11.6636,15.9607,0.0,0.0,0.0,4.2971,2.4555,0.6139,1.8416,3.6832,6.1387,0.0,1.2277,453.0387,0.0,0.0,49.1099,275.0153,12.2775,7.9804,6.7526,12.2775,0.0,11.0497,2653.7753,1.8416,58.318000000000005,536.8877,286.6789,63.8428,0.0,66.2983,118.4776,69.3677,5955.1872,1761.2032,416.2063,16.94
140.0,1.4286,33.8095,841.9048,927.6189999999999,1077.1429,1244.7619,20.9524,5869.0476,298.7762,99.0476,53.8095,311.9048,17.619,21.4286,37.1429,5535.2381,662.8571,2998.0952,394.7619,1799.5238,133.8095,482.8571,24032.718999999997,37323.1571,27237.319,7406.1905,4986.6667,3802.381,105.7143,5930.9524,167.61900000000003,14840.4762,8554.4095,3726.1905,4860.9524,1197.1429,530.0,29.5238,169.0476,0.0,0.0,1.4286,11.9048,10.4762,0.0,0.4762,44.2857,30.0,0.0,0.0,1751.2429,1.3524,0.0762,49.0476,420.0,451.9048,92.381,41.4286,134.2857,202.8571,433.3333,2122.381,109.5238,499.5238,1080.4714,180.4762,64.7619,23.8095,305.7143,31.4286,11.9048,872.8571,1929.5238,2124.7619,27.003
104.6129,0.4119,12.3558,483.9374,1462.9325,574.1351,1656.5074,28.0066,3985.9967,103.61200000000001,33.7727,12.7677,1171.3344,20.1812,28.4185,42.0099,2244.2339,1746.7051,1548.1878,12.3558,647.8583,274.2998,297.7759,15883.438999999998,23946.145,13812.916000000001,6191.9275,3347.1993,5637.5618,332.7842,4002.0593,349.2586,20880.1483,10168.0478,9132.6194,10085.6672,8137.1499,214.5799,49.8353,322.4876,0.0,0.0,33.7727,4.9423,30.8896,0.4119,32.9489,372.3229,24.7117,0.0,0.0,1610.5848,0.4984,3.2084,380.972,125.6178,239.7035,58.0725,79.4893,320.4283,10.2965,131.3839,584.4316,114.0857,56.8369,591.3427,487.6442,28.8303,14.4152,44.4811,39.9506,177.9242,3441.5157,1223.229,2479.8188,10.635
346.0812,0.0,4.2378,409.6527,544.7911,189.7587,360.2119,6.5921,5338.6698,41.4032,8.0047,3.7669,109.7116,2.3543,6.1212,26.3685,1080.6357,249.0877,355.9741,24.485,1155.5032,34.844,131.3714,5443.0324,9145.116,6360.9464,760.9182,781.1654,466.1566,34.3732,550.4414,23.0724,2061.9188,988.5862,147.3808,5406.0035,324.4261,1389.5232,14.5968,36.2566,0.0,0.0,0.4709,10.8299,0.4709,0.0,1.8835,8.4756,14.126,0.0,0.0,424.2496,0.0,0.0,56.033,49.9117,14.5968,12.2425,6.1212,32.9606,8.4756,59.7999,418.1283,22.6015,122.8958,195.7716,13.6551,47.5574,4.2378,187.8752,4.7087,6.5921,6831.3125,803.2961,18.8346,16.135
701.9922,0.0,40.6579,390.316,603.9549,642.7647,1651.0811,17.372,5182.7758,170.1571,56.5515,24.0251,322.676,4.805,41.7668,90.1867,2085.012,954.3522,2161.8924,163.3709,882.6354,170.024,407.68800000000005,14387.2667,20362.8313,13930.645,4939.1979,3464.0547,1940.4916,646.4609,1477.3609,405.1007,12462.0218,4001.4045,1196.448,8494.5481,5640.7318,475.32800000000003,54.7034,235.0767,0.0,0.0,3.6962,7.3923,21.4378,1.1089,1.8481,28.0909,96.8398,0.0,0.0,2102.384,1.4785,2.5873,144.1508,306.7825,95.7309,83.1639,51.3768,235.0767,176.6771,339.6784,696.7289,123.8218,267.603,330.3678,59.5084,33.6352,30.6782,53.9641,3.3266,178.5252,2114.2118,949.9168,1327.6659,9.383
287.9252,0.6448,48.0413,757.053,1467.9994,328.2283,661.9378,24.1818,1160.7287,172.0232,48.3637,15.154000000000002,107.6898,3.5467,12.2521,17.4109,348.541,448.4927,1210.3821,139.9323,862.4859,139.2874,162.502,11710.2757,16035.3861,11618.6523,5155.8923,3882.315,1074.9637,1035.9503,1607.2868,178.3008,19200.7093,3834.3543,1279.0585,5503.4661,1005.6424,527.8091,25.4715,46.7516,0.0,0.0,2.9018,2.9018,1.6121,0.3224,0.6448,4.1915,32.8873,0.9673,0.0,874.0932,1.8539,0.0806,28.6958,220.8609,27.7285,37.4013,40.6255,83.8304,78.6716,149.9275,625.1814,51.5879,148.9602,670.0725,246.9773,27.4061,6.1261,82.2183,5.4812,32.8873,1926.1648,813.4773,12975.6569,11.914000000000001
93.0398,0.0,2.4858,272.7273,222.6562,396.3068,227.6278,23.7926,2335.2273,26.9744,17.0455,1.4205,176.1364,2.1307,6.0369,5.3267,352.2727,116.8324,158.7358,237.571,1341.9744,42.2585,293.67900000000003,10275.5291,22910.277000000002,25800.6605,5485.0852,3099.0767,2581.321,327.4148,2406.25,344.1051,11862.571000000002,4207.8977,412.2869,6490.767,894.8864,333.8068,3.9062,7.1023,0.0,0.0,0.0,3.9062,1.4205,0.0,5.6818,101.2074,4.6165,0.0,0.0,1279.4744,0.0,0.3551,13.4943,339.8438,196.3778,28.054000000000002,3.5511,20.9517,93.3949,72.4432,713.7784,9.5881,283.0256,428.9098,130.3267,11.7188,8.8778,268.4659,7.1023,38.7074,830.6108,995.7386,428.267,3.707
